NLOC,CCN,token,PARAM,length,location

11,3,72,5,11,"__init__@73-83@/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","__init__","__init__( self , manifest : Optional [ Manifest ] = None , settings : Optional [ PrefectDbtSettings ] = None , raise_on_failure : bool = True , client : Optional [ PrefectClient ] = None , )",73,83
3,1,19,2,3,"_get_manifest_depends_on_nodes@85-87@/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","_get_manifest_depends_on_nodes","_get_manifest_depends_on_nodes( self , manifest_node : ManifestNode )",85,87
81,13,448,3,93,"_emit_lineage_event@89-181@/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","_emit_lineage_event","_emit_lineage_event( self , manifest_node : ManifestNode , related_prefect_context : list [ RelatedResource ] , )",89,181
23,4,128,4,29,"_emit_node_event@183-211@/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","_emit_node_event","_emit_node_event( self , manifest_node : ManifestNode , related_prefect_context : list [ RelatedResource ] , dbt_event : EventMsg , )",183,211
2,1,17,2,2,"_get_dbt_event_msg@213-214@/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","_get_dbt_event_msg","_get_dbt_event_msg( self , event : EventMsg )",213,214
14,7,125,1,14,"_create_logging_callback.logging_callback@230-243@/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","_create_logging_callback.logging_callback","_create_logging_callback.logging_callback( event : EventMsg )",230,243
15,2,36,2,30,"_create_logging_callback@216-245@/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","_create_logging_callback","_create_logging_callback( self , log_level : EventLevel )",216,245
2,1,19,2,2,"_get_dbt_event_node_id@247-248@/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","_get_dbt_event_node_id","_get_dbt_event_node_id( self , event : EventMsg )",247,248
23,9,137,1,26,"_create_events_callback.events_callback@263-288@/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","_create_events_callback.events_callback","_create_events_callback.events_callback( event : EventMsg )",263,288
14,1,26,2,41,"_create_events_callback@250-290@/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","_create_events_callback","_create_events_callback( self , related_prefect_context : list [ RelatedResource ] )",250,290
28,4,172,2,41,"parse@292-332@/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","parse","parse( self , ** kwargs : Any )",292,332
43,12,273,3,58,"ainvoke@334-391@/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","ainvoke","ainvoke( self , args : list [ str ] , ** kwargs : Any )",334,391
46,12,280,3,60,"invoke@393-452@/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","/Users/hamed/Documents/0uni/08-software-evolution/assignment/prefect/src/integrations/prefect-dbt/prefect_dbt/core/runner.py","invoke","invoke( self , args : list [ str ] , ** kwargs : Any )",393,452
